ENSG00000269416.1	CTB-175P5.4
ENSG00000160191.13	PDE9A
ENSG00000215866.3	RP11-426L16.8
ENSG00000186174.8	BCL9L
ENSG00000129675.11	ARHGEF6
ENSG00000173369.11	C1QB
ENSG00000183918.10	SH2D1A
ENSG00000213654.5	GPSM3
ENSG00000123329.13	ARHGAP9
ENSG00000205744.5	DENND1C
ENSG00000244682.3	FCGR2C
ENSG00000129824.11	RPS4Y1
ENSG00000100234.11	TIMP3
ENSG00000124145.5	SDC4
ENSG00000182534.9	MXRA7
ENSG00000160255.12	ITGB2
ENSG00000131914.6	LIN28A
ENSG00000054219.9	LY75
ENSG00000144645.9	OSBPL10
ENSG00000260362.1	RP11-297M9.1
ENSG00000162437.10	RAVER2
ENSG00000154096.9	THY1
ENSG00000137831.10	UACA
ENSG00000105976.10	MET
ENSG00000144063.3	MALL
ENSG00000012124.10	CD22
ENSG00000138964.12	PARVG
ENSG00000167601.7	AXL
ENSG00000010671.11	BTK
ENSG00000170542.5	SERPINB9
ENSG00000137942.12	FNBP1L
ENSG00000171224.7	C10orf35
ENSG00000265206.2	MIR142
ENSG00000204252.8	HLA-DOA
ENSG00000138449.6	SLC40A1
ENSG00000214796.4	RP11-480I12.5
ENSG00000175274.14	TP53I11
ENSG00000120899.13	PTK2B
ENSG00000104341.12	LAPTM4B
ENSG00000136167.9	LCP1
ENSG00000079102.12	RUNX1T1
ENSG00000075884.8	ARHGAP15
ENSG00000174705.7	SH3PXD2B
ENSG00000211747.3	TRBV20-1
ENSG00000174498.9	IGDCC3
ENSG00000150977.9	RILPL2
ENSG00000165246.8	NLGN4Y
ENSG00000164265.4	SCGB3A2
ENSG00000081189.9	MEF2C
ENSG00000173372.12	C1QA
ENSG00000143845.10	ETNK2
ENSG00000082458.7	DLG3
ENSG00000205358.3	MT1H
ENSG00000067606.11	PRKCZ
ENSG00000125144.9	MT1G
ENSG00000186081.7	KRT5
ENSG00000121005.4	CRISPLD1
ENSG00000111319.8	SCNN1A
ENSG00000108679.8	LGALS3BP
ENSG00000133980.4	VRTN
ENSG00000248605.1	CTD-2306M5.1
ENSG00000140853.11	NLRC5
ENSG00000166349.5	RAG1
ENSG00000018408.10	WWTR1
ENSG00000119986.6	AVPI1
ENSG00000149781.8	FERMT3
ENSG00000174125.3	TLR1
ENSG00000204264.4	PSMB8
ENSG00000211973.2	IGHV1-69
ENSG00000124772.7	CPNE5
ENSG00000240505.4	TNFRSF13B
ENSG00000173402.7	DAG1
ENSG00000137265.10	IRF4
ENSG00000026751.12	SLAMF7
ENSG00000166833.15	NAV2
ENSG00000087842.6	PIR
ENSG00000187772.6	LIN28B
ENSG00000132965.5	ALOX5AP
ENSG00000153563.11	CD8A
ENSG00000138771.10	SHROOM3
ENSG00000222414.1	RNU2-59P
ENSG00000245532.4	NEAT1
ENSG00000224137.1	AC079767.4
ENSG00000162739.9	SLAMF6
ENSG00000185275.6	CD24P4
ENSG00000118257.12	NRP2
ENSG00000178934.4	LGALS7B
ENSG00000141506.9	PIK3R5
ENSG00000136261.10	BZW2
ENSG00000169783.8	LINGO1
ENSG00000183098.6	GPC6
ENSG00000214548.10	MEG3
ENSG00000111913.11	FAM65B
ENSG00000197261.7	C6orf141
ENSG00000211663.2	IGLV3-19
ENSG00000170485.12	NPAS2
ENSG00000163739.4	CXCL1
ENSG00000129991.8	TNNI3
ENSG00000132465.6	IGJ
ENSG00000233864.3	TTTY15
ENSG00000159958.3	TNFRSF13C
ENSG00000073754.5	CD5L
ENSG00000124440.11	HIF3A
ENSG00000136378.10	ADAMTS7
ENSG00000141293.11	SKAP1
ENSG00000125726.6	CD70
ENSG00000146592.12	CREB5
ENSG00000164251.4	F2RL1
ENSG00000077782.15	FGFR1
ENSG00000185745.8	IFIT1
ENSG00000102935.7	ZNF423
ENSG00000091986.11	CCDC80
ENSG00000169413.2	RNASE6
ENSG00000154553.9	PDLIM3
ENSG00000115461.4	IGFBP5
ENSG00000171885.9	AQP4
ENSG00000112149.5	CD83
ENSG00000147676.9	MAL2
ENSG00000102024.13	PLS3
ENSG00000145555.10	MYO10
ENSG00000072195.10	SPEG
ENSG00000253507.1	CTD-2501M5.1
ENSG00000184697.6	CLDN6
ENSG00000013588.5	GPRC5A
ENSG00000234787.3	LINC00458
ENSG00000241484.5	ARHGAP8
ENSG00000156925.7	ZIC3
ENSG00000106560.6	GIMAP2
ENSG00000128656.9	CHN1
ENSG00000110148.5	CCKBR
ENSG00000196208.9	GREB1
ENSG00000172037.9	LAMB2
ENSG00000204592.5	HLA-E
ENSG00000105699.12	LSR
ENSG00000182195.6	LDOC1
ENSG00000069482.6	GAL
ENSG00000130592.9	LSP1
ENSG00000136603.9	SKIL
ENSG00000261040.2	CTD-2319I12.1
ENSG00000140600.12	SH3GL3
ENSG00000141736.9	ERBB2
ENSG00000091409.10	ITGA6
ENSG00000211745.3	TRBV4-2
ENSG00000166780.6	C16orf45
ENSG00000226887.3	ERVMER34-1
ENSG00000143375.10	CGN
ENSG00000232810.3	TNF
ENSG00000155465.14	SLC7A7
ENSG00000156453.9	PCDH1
ENSG00000157827.15	FMNL2
ENSG00000154237.8	LRRK1
ENSG00000076706.10	MCAM
ENSG00000111348.4	ARHGDIB
ENSG00000187955.7	COL14A1
ENSG00000105289.10	TJP3
ENSG00000136854.13	STXBP1
ENSG00000164692.13	COL1A2
ENSG00000102755.6	FLT1
ENSG00000130635.11	COL5A1
ENSG00000120949.10	TNFRSF8
ENSG00000075340.18	ADD2
ENSG00000087237.6	CETP
ENSG00000165996.9	PTPLA
ENSG00000110031.8	LPXN
ENSG00000108691.5	CCL2
ENSG00000108798.4	ABI3
ENSG00000261801.1	LOXL1-AS1
ENSG00000115648.9	MLPH
ENSG00000185507.15	IRF7
ENSG00000006074.4	CCL18
ENSG00000185559.9	DLK1
ENSG00000204262.7	COL5A2
ENSG00000174123.6	TLR10
ENSG00000196739.10	COL27A1
ENSG00000145642.7	FAM159B
ENSG00000172724.7	CCL19
ENSG00000136286.10	MYO1G
ENSG00000100368.9	CSF2RB
ENSG00000100033.12	PRODH
ENSG00000067715.9	SYT1
ENSG00000269962.1	RP13-238F13.5
ENSG00000129951.14	LPPR3
ENSG00000163453.7	IGFBP7
ENSG00000106853.12	PTGR1
ENSG00000163017.9	ACTG2
ENSG00000117122.9	MFAP2
ENSG00000155307.13	SAMSN1
ENSG00000139193.3	CD27
ENSG00000160973.7	FOXH1
ENSG00000150093.14	ITGB1
ENSG00000150938.5	CRIM1
ENSG00000163154.5	TNFAIP8L2
ENSG00000169245.4	CXCL10
ENSG00000130294.10	KIF1A
ENSG00000115457.5	IGFBP2
ENSG00000137959.11	IFI44L
ENSG00000163513.13	TGFBR2
ENSG00000145287.6	PLAC8
ENSG00000130513.6	GDF15
ENSG00000105357.11	MYH14
ENSG00000168010.6	ATG16L2
ENSG00000158106.8	RHPN1
ENSG00000115165.5	CYTIP
ENSG00000155849.11	ELMO1
ENSG00000178053.13	MLF1
ENSG00000111077.13	TENC1
ENSG00000165349.7	SLC7A3
ENSG00000254285.2	KRT8P3
ENSG00000007062.7	PROM1
ENSG00000180096.7	SEPT1
ENSG00000175928.5	LRRN1
ENSG00000152894.10	PTPRK
ENSG00000145623.8	OSMR
ENSG00000270505.1	IGHV1OR15-1
ENSG00000204642.9	HLA-F
ENSG00000049323.11	LTBP1
ENSG00000004468.8	CD38
ENSG00000177426.16	TGIF1
ENSG00000154545.12	MAGED4
ENSG00000134198.5	TSPAN2
ENSG00000166073.4	GPR176
ENSG00000244116.1	IGKV2-28
ENSG00000213689.5	TREX1
ENSG00000270704.2	SNORD64
ENSG00000182162.5	P2RY8
ENSG00000074416.9	MGLL
ENSG00000204381.7	LAYN
ENSG00000168824.10	NSG1
ENSG00000134873.5	CLDN10
ENSG00000130707.13	ASS1
ENSG00000050555.13	LAMC3
ENSG00000239713.3	APOBEC3G
ENSG00000140545.10	MFGE8
ENSG00000160593.13	AMICA1
ENSG00000013364.14	MVP
ENSG00000131981.11	LGALS3
ENSG00000081181.3	ARG2
ENSG00000168421.8	RHOH
ENSG00000167861.11	HID1
ENSG00000052126.10	PLEKHA5
ENSG00000141198.9	TOM1L1
ENSG00000143776.14	CDC42BPA
ENSG00000053438.7	NNAT
ENSG00000061676.10	NCKAP1
ENSG00000175707.7	C1orf172
ENSG00000005844.13	ITGAL
ENSG00000010610.5	CD4
ENSG00000126353.3	CCR7
ENSG00000121653.7	MAPK8IP1
ENSG00000230798.1	RP4-792G4.2
ENSG00000172349.12	IL16
ENSG00000124875.5	CXCL6
ENSG00000092096.10	SLC22A17
ENSG00000196189.8	SEMA4A
ENSG00000060656.15	PTPRU
ENSG00000141934.5	PPAP2C
ENSG00000106538.5	RARRES2
ENSG00000197536.6	C5orf56
ENSG00000175899.10	A2M
ENSG00000142798.12	HSPG2
ENSG00000147601.9	TERF1
ENSG00000010278.7	CD9
ENSG00000043462.7	LCP2
ENSG00000120256.5	LRP11
ENSG00000218336.3	TENM3
ENSG00000180353.6	HCLS1
ENSG00000229164.5	TRAC
ENSG00000176834.9	VSIG10
ENSG00000122224.13	LY9
ENSG00000176105.9	YES1
ENSG00000168071.17	CCDC88B
ENSG00000012223.8	LTF
ENSG00000164904.11	ALDH7A1
ENSG00000105971.10	CAV2
ENSG00000100721.6	TCL1A
ENSG00000126561.12	STAT5A
ENSG00000167291.11	TBC1D16
ENSG00000132530.12	XAF1
ENSG00000213988.5	ZNF90
ENSG00000211899.3	IGHM
ENSG00000142512.10	SIGLEC10
ENSG00000104903.4	LYL1
ENSG00000164591.9	MYOZ3
ENSG00000107738.15	C10orf54
ENSG00000187912.7	CLEC17A
ENSG00000250155.1	CTD-2353F22.1
ENSG00000135218.13	CD36
ENSG00000137843.7	PAK6
ENSG00000174500.8	GCSAM
ENSG00000168243.6	GNG4
ENSG00000114019.10	AMOTL2
ENSG00000241106.2	HLA-DOB
ENSG00000130203.5	APOE
ENSG00000142549.9	IGLON5
ENSG00000138623.5	SEMA7A
ENSG00000168938.5	PPIC
ENSG00000185664.10	PMEL
ENSG00000169499.10	PLEKHA2
ENSG00000187678.8	SPRY4
ENSG00000239961.2	LILRA4
ENSG00000166532.11	RIMKLB
ENSG00000165588.12	OTX2
ENSG00000112303.9	VNN2
ENSG00000236673.1	RP11-69I8.2
ENSG00000110777.7	POU2AF1
ENSG00000078114.14	NEBL
ENSG00000167680.11	SEMA6B
ENSG00000197702.7	PARVA
ENSG00000225783.2	MIAT
ENSG00000198624.8	CCDC69
ENSG00000070190.8	DAPP1
ENSG00000074590.9	NUAK1
ENSG00000064042.13	LIMCH1
ENSG00000113594.5	LIFR
ENSG00000026559.9	KCNG1
ENSG00000144730.12	IL17RD
ENSG00000105639.14	JAK3
ENSG00000179361.13	ARID3B
ENSG00000169894.13	MUC3A
ENSG00000137841.7	PLCB2
ENSG00000196735.7	HLA-DQA1
ENSG00000116667.8	C1orf21
ENSG00000129354.7	AP1M2
ENSG00000102879.11	CORO1A
ENSG00000167077.8	MEI1
ENSG00000074410.9	CA12
ENSG00000111341.5	MGP
ENSG00000169174.9	PCSK9
ENSG00000104881.10	PPP1R13L
ENSG00000268388.1	FENDRR
ENSG00000012779.6	ALOX5
ENSG00000100292.12	HMOX1
ENSG00000166025.13	AMOTL1
ENSG00000072110.9	ACTN1
ENSG00000143819.8	EPHX1
ENSG00000166450.8	PRTG
ENSG00000100344.6	PNPLA3
ENSG00000133561.11	GIMAP6
ENSG00000070087.9	PFN2
ENSG00000166086.8	JAM3
ENSG00000129116.13	PALLD
ENSG00000166710.13	B2M
ENSG00000116285.8	ERRFI1
ENSG00000176720.3	BOK
ENSG00000126759.8	CFP
ENSG00000182326.10	C1S
ENSG00000205517.8	RGL3
ENSG00000211771.1	TRBJ2-7
ENSG00000153404.9	PLEKHG4B
ENSG00000068831.14	RASGRP2
ENSG00000011105.7	TSPAN9
ENSG00000106278.7	PTPRZ1
ENSG00000179403.10	VWA1
ENSG00000198910.8	L1CAM
ENSG00000182963.5	GJC1
ENSG00000057294.9	PKP2
ENSG00000176046.7	NUPR1
ENSG00000243466.1	IGKV1-5
ENSG00000188112.4	C6orf132
ENSG00000100320.18	RBFOX2
ENSG00000260834.1	RP11-256I9.2
ENSG00000204472.8	AIF1
ENSG00000174469.13	CNTNAP2
ENSG00000154639.14	CXADR
ENSG00000137731.9	FXYD2
ENSG00000116016.9	EPAS1
ENSG00000109654.10	TRIM2
ENSG00000023892.9	DEF6
ENSG00000102804.10	TSC22D1
ENSG00000162105.12	SHANK2
ENSG00000145808.4	ADAMTS19
ENSG00000133169.5	BEX1
ENSG00000154930.10	ACSS1
ENSG00000130558.14	OLFM1
ENSG00000136830.7	FAM129B
ENSG00000149294.12	NCAM1
ENSG00000166206.9	GABRB3
ENSG00000132613.10	MTSS1L
ENSG00000118785.9	SPP1
ENSG00000105137.8	SYDE1
ENSG00000003249.9	DBNDD1
ENSG00000269640.1	CTD-2521M24.9
ENSG00000130755.8	GMFG
ENSG00000140379.7	BCL2A1
ENSG00000250366.2	LINC00617
ENSG00000243238.1	IGKV2-30
ENSG00000229415.5	SFTA3
ENSG00000067113.12	PPAP2A
ENSG00000171680.16	PLEKHG5
ENSG00000233098.4	RP11-344E13.3
ENSG00000125266.6	EFNB2
ENSG00000223865.6	HLA-DPB1
ENSG00000149948.9	HMGA2
ENSG00000204525.10	HLA-C
ENSG00000168081.4	PNOC
ENSG00000131459.8	GFPT2
ENSG00000132359.9	RAP1GAP2
ENSG00000165821.7	SALL2
ENSG00000104267.5	CA2
ENSG00000137285.9	TUBB2B
ENSG00000185842.10	DNAH14
ENSG00000066294.10	CD84
ENSG00000126882.8	FAM78A
ENSG00000120708.12	TGFBI
ENSG00000229754.1	CXCR2P1
ENSG00000088305.14	DNMT3B
ENSG00000179820.11	MYADM
ENSG00000147596.3	PRDM14
ENSG00000204711.4	C9orf135
ENSG00000211592.2	IGKC
ENSG00000175857.4	GAPT
ENSG00000122786.15	CALD1
ENSG00000187134.8	AKR1C1
ENSG00000136110.8	LECT1
ENSG00000198722.8	UNC13B
ENSG00000182272.7	B4GALNT4
ENSG00000122642.6	FKBP9
ENSG00000123146.15	CD97
ENSG00000054793.9	ATP9A
ENSG00000186310.9	NAP1L3
ENSG00000077420.11	APBB1IP
ENSG00000144935.10	TRPC1
ENSG00000162738.5	VANGL2
ENSG00000081320.6	STK17B
ENSG00000185274.7	WBSCR17
ENSG00000211959.2	IGHV4-39
ENSG00000267121.1	CTD-2020K17.1
ENSG00000166863.7	TAC3
ENSG00000197629.5	MPEG1
ENSG00000198682.8	PAPSS2
ENSG00000134202.6	GSTM3
ENSG00000151276.19	MAGI1
ENSG00000241697.3	TMEFF1
ENSG00000150687.7	PRSS23
ENSG00000155926.9	SLA
ENSG00000089820.11	ARHGAP4
ENSG00000117322.12	CR2
ENSG00000175097.3	RAG2
ENSG00000136931.5	NR5A1
ENSG00000140479.12	PCSK6
ENSG00000100060.13	MFNG
ENSG00000170558.4	CDH2
ENSG00000067840.8	PDZD4
ENSG00000162576.12	MXRA8
ENSG00000101850.8	GPR143
ENSG00000211445.7	GPX3
ENSG00000105088.4	OLFM2
ENSG00000117519.11	CNN3
ENSG00000243709.1	LEFTY1
ENSG00000211895.3	IGHA1
ENSG00000116701.10	NCF2
ENSG00000105426.10	PTPRS
ENSG00000141738.9	GRB7
ENSG00000104413.11	ESRP1
ENSG00000186642.11	PDE2A
ENSG00000213402.2	PTPRCAP
ENSG00000211949.2	IGHV3-23
ENSG00000122378.9	FAM213A
ENSG00000204397.3	CARD16
ENSG00000066923.13	STAG3
ENSG00000101680.9	LAMA1
ENSG00000197077.8	KIAA1671
ENSG00000244437.1	IGKV3-15
ENSG00000136235.11	GPNMB
ENSG00000131203.8	IDO1
ENSG00000121895.7	TMEM156
ENSG00000254726.2	MEX3A
ENSG00000140368.8	PSTPIP1
ENSG00000163032.7	VSNL1
ENSG00000134028.10	ADAMDEC1
ENSG00000249790.2	RP11-20D14.6
ENSG00000131711.10	MAP1B
ENSG00000148516.17	ZEB1
ENSG00000125968.7	ID1
ENSG00000232677.2	LINC00665
ENSG00000211953.2	IGHV3-30
ENSG00000096696.9	DSP
ENSG00000000003.10	TSPAN6
ENSG00000095596.7	CYP26A1
ENSG00000198771.6	RCSD1
ENSG00000118523.5	CTGF
ENSG00000271856.1	RP11-861A13.4
ENSG00000019144.12	PHLDB1
ENSG00000185811.12	IKZF1
ENSG00000173281.4	PPP1R3B
ENSG00000128815.13	WDFY4
ENSG00000187079.10	TEAD1
ENSG00000101955.10	SRPX
ENSG00000138795.5	LEF1
ENSG00000006704.6	GTF2IRD1
ENSG00000112137.12	PHACTR1
ENSG00000137962.8	ARHGAP29
ENSG00000211938.2	IGHV3-7
ENSG00000167105.3	TMEM92
ENSG00000167286.5	CD3D
ENSG00000114270.11	COL7A1
ENSG00000120156.16	TEK
ENSG00000100600.10	LGMN
ENSG00000205213.9	LGR4
ENSG00000115232.9	ITGA4
ENSG00000115363.9	EVA1A
ENSG00000188488.9	SERPINA5
ENSG00000149591.12	TAGLN
ENSG00000198502.5	HLA-DRB5
ENSG00000110492.11	MDK
ENSG00000203710.6	CR1
ENSG00000135048.9	TMEM2
ENSG00000128284.15	APOL3
ENSG00000260682.2	7SK
ENSG00000132688.10	NES
ENSG00000066629.12	EML1
ENSG00000164171.6	ITGA2
ENSG00000213886.3	UBD
